,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24362,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,14.0,1.8
24363,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,15.0,1.4
24364,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,16.0,0.4
24365,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,17.0,0.3
24366,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,18.0,1.2
24367,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,19.0,1.1
24368,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,20.0,0.9
24369,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,21.0,0.7
24370,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,22.0,0.9
24371,18046,ÇANKAYA/TBMM,2016.0,1.0,13.0,23.0,0.6
24372,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,0.0,0.7
24373,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,1.0,0.7
24374,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,2.0,1.0
24375,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,3.0,1.1
24376,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,4.0,0.9
24377,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,5.0,0.7
24378,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,6.0,0.9
24379,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,7.0,1.2
24380,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,8.0,1.9
24381,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,9.0,2.1
24382,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,10.0,2.1
24383,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,11.0,1.5
24384,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,12.0,1.8
24385,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,13.0,2.0
24386,18046,ÇANKAYA/TBMM,2016.0,1.0,14.0,14.0,2.1
